date,location_country,title_category,title_general,title_detail,salary_base,bonus_pct,bonus,years_of_experience,what_degrees_do_you_have,where_are_you_located,what_country_do_you_work_in,role_title_of_current_position,sheet_name,which_country_do_you_work_in,what_city_do_you_work_in,which_us_state_do_you_work_in,which_canadian_province_do_you_work_in,company_or_institution_name,which_of_the_following_best_describes_your_company,biotech_sub_industry,company_detail_approximate_company_size,provide_a_review_and_rate_your_company_institution_and_experience,work_life_balance_on_average_how_many_hours_do_you_work_per_week,title_2025,which_department_best_describes_your_role_if_you_cant_find_one_that_fits_your_specific_role_select_other_and_describe,briefly_describe_your_position_and_responsibilities,do_you_work_in_person_remote_or_hybrid,how_many_days_on_average_per_week_do_you_work_from_home,how_many_total_years_of_experience_in_post_docs_do_you_have_if_none_enter_0,list_other_relevant_and_recognized_certifications,yoe_2025,are_you_a_salaried_or_hourly_employee,if_you_are_an_hourly_employee_how_many_hours_per_week_do_you_work,overtime_pay_how_is_overtime_handled_on_a_per_hour_basis_1_5x_base_2x_base_etc,bonus_pct_2025,commission_if_you_are_compensated_with_commission_how_much_is_your_commission_please_indicate_if_answering_in_percentage_or_absolute_monetary_value,annual_equity_stock_option_please_enter_the_grant_market_value_of_your_long_term_incentive_use_the_annualized_amount_if_distributed_over_several_years_enter_0_if_none_or_not_applicable_do_not_include_equity_when_signing_on_or_one_time_equity_bonuses,most_recent_annual_yearly_raise_percent_companies_typically_do_yearly_raises_across_the_board_for_all_employees_this_is_not_to_be_confused_with_promotions_or_raises_that_were_requested,sign_on_bonus_value_this_is_a_one_time_bonus_you_may_have_received_when_signing_on_this_is_not_a_bonus_that_reoccurs,sign_on_stock_equity_options_briefly_describe_sign_on_stock_equity_options_that_is_available,sign_on_relocation_assistance_total_value_this_is_the_total_value_of_the_relocation_assistance_including_but_not_limited_to_tax_true_ups_company_may_have_paid_movers_expenses_shipping_of_vehicles_temporary_living_etc,retirement_benefits_free_text_briefly_describe_retirement_benefits_for_example_401k_match_percent_pension_etc,healthcare_benefits_free_text_describe_healthcare_benefits_costs_deductibles_outfamily_plan_insurance_provider_total_out_of_pocket_hsa_contributions_etc,highest_degree_2025,how_many_years_have_you_been_working_at_this_current_position,what_currency_will_you_be_answering_these_quesitons_in,survey_feedback,any_other_type_of_annual_bonus_please_describe_do_not_include_one_time_bonuses_spot_bonuses_signing_bonuses_referral_bonuses,how_much_of_your_bonus_did_you_receive_in_the_last_cycle_e_g_maybe_your_target_bonus_was_10_percent_but_you_actually_got_8_percent_this_year_so_here_you_would_write_8_percent,where_is_the_closest_major_city_or_hub,company_details_public_private_start_up_subsidiary_of,optional_briefly_describe_your_position,compensation_annual_base_salary_pay,compensation_overtime_pay,compensation_annual_target_bonus,compensation_annual_equity_stock_option,compensation_most_recent_annual_yearly_raise_percent,compensation_sign_on_bonus_value,compensation_sign_on_stock_equity_options,compensation_retirement_benefits_free_text,compensation_healthcare_benefits_free_text,optional_sign_on_relocation_assistance_total_value,optional_company_review,optional_work_life_balance_on_average_how_many_hours_do_you_work_per_week,survey_feedback_2,highest_achieved_formal_education,compensation_annual_equity,compensation_stock_options,salary_total,experience_highest_degree,location_raw_data,location_granular
2025-01-25,United States Of America,Scientist,Scientist,Machine Learning   Head of Bioinformatics,150000,0,0,0,PhD,NA,NA,"Machine Learning Scientist, Head of Bioinformatics",2025,United States,NA,Massachusetts,NA,Prefer not to say,Private,Cell and Gene Therapy,1-50,NA,30 - 35,"Machine Learning Scientist, Head of Bioinformatics",Data Science / Bioinformatics,NA,Hybrid,4,0,NA,0,Salaried,Not applicable,N/A (no overtime/am salaried),NA,No commission,20000,Have not been long enough to have an annual yearly raise,NA,NA,NA,None,HSA $1200,PhD,0,USD - US dollar,NA,NA,NA,NA,NA,NA,150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,PhD,NA,Massachusetts
2025-01-24,United States Of America,Director,Director, of Bioprocess,150000,0,0,11,Masters,NA,NA,Director of Bioprocess,2025,United States,NA,New Jersey,NA,Prefer not to say,Private,Industrial Biotech,1-50,NA,51 - 60,Director of Bioprocess,Research,Oversee early process development upstream and downstream workflows to late-stage development and tech transfer. Currently managing all other R&D functions.,In-Person,1,0,NA,11,Salaried,Not applicable,N/A (no overtime/am salaried),NA,No commission,10000,COL adjustment every year,NA,Based on bands,NA,NA,NA,Masters,0,USD - US dollar,Appreciate the transparency here,NA,NA,NA,NA,NA,150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,Masters,NA,New Jersey
2025-01-24,United States Of America,Scientist,Scientist, II,123000,0.15,18450,2,PhD,NA,NA,Scientist II,2025,United States,NA,Maryland,NA,Novavax,Public,Industrial Biotech,1000-5000,NA,36 - 40,Scientist II,Research,NA,In-Person,0,0,NA,2,Salaried,Not applicable,N/A (no overtime/am salaried),15,No commission,12000,3.25,NA,NA,2000,4% match,NA,PhD,0,USD - US dollar,NA,RSU,13.5,NA,NA,NA,123000,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141450,PhD,NA,Maryland
2025-01-24,United States Of America,NA,NA,NA,77000,0,0,0,Bachelors,NA,NA,Lab Technician II,2025,United States,NA,California,NA,Prefer not to say,Private,Diagnostics,50-200,Pretty good so far-- 6,41 - 45,Lab Technician II,Research,Sequencing,In-Person,0,0,NA,0,Salaried,Not applicable,N/A (no overtime/am salaried),NA,No commission,0,Have not been long enough to have an annual yearly raise,NA,NA,4000,401k 4% match,Healthcare insurance,Bachelors,0.1,USD - US dollar,NA,NA,NA,NA,NA,NA,77000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77000,Bachelors,NA,California
2025-01-24,United States Of America,NA,NA,NA,165000,0.15,24750,7,Bachelors,NA,NA,"Senior Manager, Operations",2025,United States,NA,Massachusetts,NA,Thermo Fisher Scientific,Public,Contract Manufacturing Organization,5000+,Has been great for personal growth but company struggles in some areas and is too purely finance-focused.,36 - 40,"Senior Manager, Operations",Operations,"Manage deviation investigators and document authors, team size of ~20 with managers, supervisors, and individual contributors",In-Person,0,0,NA,7,Salaried,Not applicable,N/A (no overtime/am salaried),15,No commission,0,3,NA,NA,NA,"6% 401k match through Fidelity, mega backdoor roth available","HDHP and PPO plans (cheapest HDHP is ~$42/paycheck with $2250 deductible/$5500 OOP max) through UHC, HSA with $500 company contribution, Delta Dental, EyeMed",Bachelors,1,USD - US dollar,NA,NA,6,NA,NA,NA,165000,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189750,Bachelors,NA,Massachusetts
2025-01-24,United States Of America,NA,NA,NA,126000,0.1,12600,8,Bachelors,NA,NA,MSAT Engineer II,2025,United States,NA,Massachusetts,NA,Prefer not to say,Private,Cell and Gene Therapy,1-50,NA,36 - 40,MSAT Engineer II,Manufacturing,Process controls and tech transfer,Hybrid,3,0,"PMP, PE, RAPS, etc",8,Salaried,Not applicable,N/A (no overtime/am salaried),10,No commission,0,Unknown,NA,NA,NA,6% match,NA,Bachelors,3,USD - US dollar,NA,0,12,NA,NA,NA,126000,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138600,Bachelors,NA,Massachusetts
2025-01-24,United States Of America,NA,NA,NA,78000,0,0,0,Bachelors,NA,NA,Lab Technician II,2025,United States,NA,California,NA,Prefer not to say,Private,Diagnostics,50-200,Overall great experience (so far). 5?,41 - 45,Lab Technician II,Research,Sequencing,In-Person,0,0,NA,0,Salaried,Not applicable,N/A (no overtime/am salaried),NA,No commission,0,Have not been long enough to have an annual yearly raise,0,5000,5000,401k 4% match,Healthcare plans covered,Bachelors,0.25,USD - US dollar,Fun!,NA,NA,NA,NA,NA,78000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78000,Bachelors,NA,California
2025-01-23,United States Of America,NA,NA,NA,136000,0.12,16320,11,Masters,NA,NA,Associate Manager Precision Medicine,2025,United States,NA,New York,NA,Regeneron,Public,Pharmaceutical (including “big pharma”),5000+,"Great, depending on the department and manager",41 - 45,Associate Manager Precision Medicine,Operations,Managing biomarkers operations across clinical trials,Hybrid,4,0,NA,11,Salaried,Not applicable,N/A (no overtime/am salaried),12,No commission,10000,4,0,0,0,401atch 6%,"FSA, 500 deductible for insurance, 180 pre tax twice a month",Masters,4,USD - US dollar,Good questions,NA,20,NA,NA,NA,136000,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152320,Masters,NA,New York
2025-01-23,United States Of America,NA,NA,NA,180000,0.2,36000,8,JD,NA,NA,Corporate Counsel,2025,United States,NA,Massachusetts,NA,Prefer not to say,Private,Pharmaceutical (including “big pharma”),5000+,NA,30 - 35,Corporate Counsel,Legal,NA,Hybrid,2,0,NA,8,Salaried,Not applicable,N/A (no overtime/am salaried),20,No commission,0,Have not been long enough to have an annual yearly raise,10000,NA,NA,NA,NA,JD,0.5,USD - US dollar,NA,NA,NA,NA,NA,NA,180000,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216000,JD,NA,Massachusetts
2025-01-23,United States Of America,Scientist,Scientist, I,95000,0.12,11400,3,Bachelors,NA,NA,Scientist I,2025,United States,NA,New York,NA,Prefer not to say,Private,Medical/Health Devices,1-50,NA,41 - 45,Scientist I,Research,NA,In-Person,1,0,NA,3,Salaried,Not applicable,N/A (no overtime/am salaried),12,No commission,0,N/A,NA,NA,NA,401k match up to 3.5%,Free individual health insurance,Bachelors,3,USD - US dollar,NA,NA,12,NA,NA,NA,95000,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106400,Bachelors,NA,New York
